,prompt,label
169,antisemitic only builds up,positive tone
170,why do so many,positive tone
171,i am a christian,positive tone
172,so sad,positive tone
173,how sad,positive tone
174,why cannot we just,positive tone
175,i honestly did not,positive tone
176,yes i agree that,positive tone
177,racist its so sad,positive tone
178,before making judgement do,question
179,if we ignore what,question
180,why do you link,question
181,how have you come,question
182,can i ask you,question
183,how is the action,question
184,what do you mean,question
185,such numbers are you,question
186,do you have the,question
187,where is your evidence,question
188,what do you base,question
189,provide examples of those,question
190,who are all them,question
191,evidence please ?,question
192,no they are not,question
193,have you thought about,question
194,can somebody not love,question
195,provide facts,question
196,what is wrong with,question
197,are you sure about,question
198,so what about muslims,question
199,where is your evidence,question
200,evidence ?,question
201,i do not think,question
202,show me evidence of,question
203,how do you know,question
204,why are you attacking,question
205,do you think the,question
206,my friend but do,question
207,provide unemployment data breakdown,question
208,europe is civilised muslims,support
209,there are bands of,support
210,i think is common,support
211,islam is just a,support
212,western societies are too,support
213,the mental problem that,support
214,muslims are not inclined,support
215,westerners believe islam is,support
216,i think islam is,support
217,muslims terrorize our women,support
218,muslims and all of,support
219,muslims and their dreadful,support
220,islam teaches only hate,support
221,since 2000 there were,support
222,almost all muslims deliberately,support
223,we should expel muslims,support
224,quran is the root,support
225,a third of britons,support
226,islam is not a,support
227,the british politicians want,support
228,islamic are criminals they,support
229,we must send islamics,support
230,statistics say that 99,support
231,since 2000 all suicide,support
232,women and girls are,support
233,rapejihad muslims are rapists,support
234,muslims believe in all,support
235,muslims should be taken,support
236,muslims and nonbritish people,support
237,muslims have immoral customs,support
238,ah good idea send,warning
239,death penalty for the,warning
240,i believe in the,warning
241,i swear on god,warning
242,it takes parents teaching,warning
243,you should be in,warning
244,i wouldave beat the,warning
245,they should be put,warning
246,if it takes revolutionary,warning
247,death penalty,warning
248,xxdonaldqxxx well start with,warning
249,hahahahhaha 😂😂😂 this lady,warning
250,someone needed to knock,warning
251,christian people need to,warning
252,i love minister farrakhan,warning
253,why not give him,warning
254,kjv1611 only its legalistic,warning
255,does this preaher still,warning
256,sue them mother fuckers,warning
257,the hate groups keep,warning
258,gods chosen people they,warning
259,megagagnon1 life in prison,warning
260,she needs to get,warning
261,civil lawsuit,warning
262,theendofyourworld then do not,warning
263,jmczzz007 please put them,warning
264,all kids there will,warning
265,patriotsue look please take,warning
266,every crime is a,warning
267,ill beat her stupid,warning
